Alpha,Case,"Delta, Units",CFx,CFy,CFz,CMx,CMy,CMz,CL,CD,CS,CMl,CMm,CMn,,,
-12,Base_Aero,n/a,-0.1237504,-0.0013494,-0.8250036,-0.0009746,0.2663465,0.0009228,-0.8327044,0.0504817,-0.0013494,0.0009746,0.2663465,-0.0009228,,,
-11,Base_Aero,n/a,-0.1017422,-0.0008833,-0.7473428,-0.0009319,0.2387779,0.0007815,-0.7530253,0.0427268,-0.0008833,0.0009319,0.2387779,-0.0007815,,,
-10,Base_Aero,n/a,-0.0815756,-0.0007864,-0.6698365,-0.0008854,0.2116651,0.0006227,-0.6738256,0.0359796,-0.0007864,0.0008854,0.2116651,-0.0006227,,,
-9,Base_Aero,n/a,-0.0634308,-0.0007207,-0.5923609,-0.0008303,0.1849677,0.0004984,-0.5949907,0.0300158,-0.0007207,0.0008303,0.1849677,-0.0004984,,,
-8,Base_Aero,n/a,-0.0472719,-0.000645,-0.5157067,-0.0007508,0.1625603,0.000372,-0.5172669,0.0249607,-0.000645,0.0007508,0.1625603,-0.000372,,,
-7,Base_Aero,n/a,-0.0331151,-0.0004496,-0.436247,-0.0007093,0.132659,0.0002824,-0.437031,0.0202969,-0.0004496,0.0007093,0.132659,-0.0002824,,,
-6,Base_Aero,n/a,-0.0210775,-0.0004389,-0.3585721,-0.0006718,0.1079725,0.000196,-0.358811,0.0165189,-0.0004389,0.0006718,0.1079725,-0.000196,,,
-5,Base_Aero,n/a,-0.0109085,-0.0000005,-0.2799119,-0.0006116,0.0811748,0.0001312,-0.2797975,0.013529,-0.0000005,0.0006116,0.0811748,-0.0001312,,,
-4,Base_Aero,n/a,-0.0030177,-0.0002127,-0.2016208,-0.0005237,0.0556238,0.0000972,-0.2013402,0.011054,-0.0002127,0.0005237,0.0556238,-0.0000972,,,
-3,Base_Aero,n/a,0.0031613,-0.0001203,-0.1231199,-0.0004644,0.0312225,0.000097,-0.1227857,0.0096006,-0.0001203,0.0004644,0.0312225,-0.000097,,,
-2,Base_Aero,n/a,0.0071857,-0.0000155,-0.0446118,-0.0004063,0.0062409,0.0001198,-0.0443338,0.0087383,-0.0000155,0.0004063,0.0062409,-0.0001198,,,
-1,Base_Aero,n/a,0.0091859,0.000106,0.0337419,-0.0003297,-0.0184,0.0001736,0.033897,0.0085956,0.000106,0.0003297,-0.0184,-0.0001736,,,
0,Base_Aero,n/a,0.0091594,0.0001978,0.1120294,-0.0002675,-0.0430708,0.0002385,0.1120294,0.0091594,0.0001978,0.0002675,-0.0430708,-0.0002385,,,
1,Base_Aero,n/a,0.0071113,0.0002909,0.1903539,-0.0002162,-0.0680803,0.0003223,0.1902008,0.0104324,0.0002909,0.0002162,-0.0680803,-0.0003223,,,
2,Base_Aero,n/a,0.003047,0.0003848,0.2686794,-0.0001593,-0.0931917,0.000429,0.2684093,0.012422,0.0003848,0.0001593,-0.0931917,-0.000429,,,
3,Base_Aero,n/a,-0.0030267,0.0005116,0.3468662,-0.0000854,-0.1183277,0.0005747,0.3465492,0.015131,0.0005116,0.0000854,-0.1183277,-0.0005747,,,
4,Base_Aero,n/a,-0.0111254,0.0006094,0.4251893,-0.0000269,-0.1441302,0.0007279,0.4249296,0.0185614,0.0006094,0.0000269,-0.1441302,-0.0007279,,,
5,Base_Aero,n/a,-0.0212476,0.0006814,0.5033628,0.0000358,-0.1697989,0.000889,0.5032992,0.0227043,0.0006814,-0.0000358,-0.1697989,-0.000889,,,
6,Base_Aero,n/a,-0.0333693,0.0008231,0.5814371,0.0002045,-0.1962906,0.0010974,0.58174,0.0275902,0.0008231,-0.0002045,-0.1962906,-0.0010974,,,
7,Base_Aero,n/a,-0.0475298,0.0009083,0.6592616,0.0001431,-0.2228743,0.0013043,0.66014,0.0331683,0.0009083,-0.0001431,-0.2228743,-0.0013043,,,
8,Base_Aero,n/a,-0.0636873,0.0010239,0.7370355,0.0002226,-0.2495351,0.0015397,0.7387263,0.039508,0.0010239,-0.0002226,-0.2495351,-0.0015397,,,
9,Base_Aero,n/a,-0.0818928,0.0010697,0.8147717,0.0002975,-0.2765533,0.0017689,0.8175514,0.0465738,0.0010697,-0.0002975,-0.2765533,-0.0017689,,,
10,Base_Aero,n/a,-0.1021032,0.0011632,0.892199,0.0003724,-0.3037345,0.0020329,0.8963745,0.0543767,0.0011632,-0.0003724,-0.3037345,-0.0020329,,,
11,Base_Aero,n/a,-0.1243011,0.0013196,0.9694436,0.0004546,-0.331267,0.0023559,0.97535,0.0629612,0.0013196,-0.0004546,-0.331267,-0.0023559,,,
12,Base_Aero,n/a,-0.1485523,0.0014619,1.0463747,0.000539,-0.3592501,0.0026847,1.0543947,0.0722474,0.0014619,-0.000539,-0.3592501,-0.0026847,,,
13,Base_Aero,n/a,-0.1076179,0.0016109,1.2667322,0.0004511,-0.4351,0.0035472,1.2584747,0.180093,0.0016109,-0.0004511,-0.4351,-0.0035472,,,
14,Base_Aero,n/a,-0.1248432,0.001794,1.320542,0.0002784,-0.4564171,0.0038559,1.3115186,0.1983332,0.001794,-0.0002784,-0.4564171,-0.0038559,,,
15,Base_Aero,n/a,-0.1392237,0.002027,1.3588933,-0.0001158,-0.4694999,0.0040146,1.3486238,0.2172277,0.002027,0.0001158,-0.4694999,-0.0040146,,,
16,Base_Aero,n/a,-0.1503256,0.0026629,1.3770243,-0.0004423,-0.4753749,0.0042397,1.3651161,0.2350571,0.0026629,0.0004423,-0.4753749,-0.0042397,,,
