Alpha,Coef,Aero,Alpha,Beta,p,q,r,Mach,U,ConGrp_1,ConGrp_2,ConGrp_3,ConGrp_4
-12,CD,0.0504817,-0.409655,0.0469523,0.0058328,0.8513381,0.005257,0.0036522,0.00047248,0.0932296,-0.0737541,0.00377574,0.0021981
-11,CD,0.0427268,-0.4072962,0.0031069,0.0001563,0.7471246,0.0112622,0.004786,0.000402429,0.07486964,-0.0661653,0.00264707,0.00115051
-10,CD,0.0359796,-0.3621898,0.0034113,0.0002143,0.9290189,-0.0020062,0.0043378,0.000333957,0.05946181,-0.0590294,0.00177271,0.00038078
-9,CD,0.0300158,-0.3269679,-0.0325476,0.003009,0.6571258,0.015629,0.0029793,0.000268271,0.04665031,-0.0522966,0.00112373,-0.0001461
-8,CD,0.0249607,-0.3847589,-0.0810361,0.0009066,0.4150524,-0.0365915,0.0018295,0.000206576,0.03607936,-0.0459176,0.00067121,-0.0004652
-7,CD,0.0202969,-0.441099,-0.0798153,-0.0085851,0.2720582,0.0243777,0.0013212,0.000150079,0.02739316,-0.0398427,0.00038622,-0.0006116
-6,CD,0.0165189,-0.1970032,0.01723,-0.0000747,0.4122328,-0.0159323,0.0001537,1.00E-04,0.02023592,-0.0340225,0.00023984,-0.0006202
-5,CD,0.013529,-0.161163,0.0231341,-0.004784,0.2668192,-0.0097467,0.0004331,5.75E-05,0.01425186,-0.0284075,0.00020315,-0.0005262
-4,CD,0.011054,-0.0667674,-0.0316421,-0.0026282,0.3787816,0.0196814,0.0000811,2.38E-05,0.00908518,-0.022948,0.00024722,-0.0003646
-3,CD,0.0096006,-0.0592287,0.0050318,0.0001884,0.1502897,0.0012877,0.0001509,-9.38E-06,0.00323437,-0.0178735,0.00050151,-0.0003073
-2,CD,0.0087383,-0.0325646,0.0269428,-0.0009333,0.0542597,-0.0002756,0.0000157,-1.24E-05,-0.0017314,-0.0131084,0.00047992,-7.98E-05
-1,CD,0.0085956,0.0121032,0.0081412,-0.0016039,-0.0340778,-0.0006684,0.0000208,-2.13E-06,-0.0069768,-0.0064025,0.00046809,3.02E-05
0,CD,0.0091594,0.0529193,-0.0001725,-0.0006749,-0.1288851,-0.0007029,0.0001342,1.76E-05,-0.012103,-0.0010098,0.00040788,4.96E-05
1,CD,0.0104324,0.0938368,-0.0002578,-0.0007161,-0.217487,-0.0002259,0.0004264,4.52E-05,-0.0187123,0.00423808,0.00037911,0.00015019
2,CD,0.012422,0.134765,-0.0002472,-0.0007243,-0.3084237,-0.000322,0.0008964,8.47E-05,-0.0263774,0.00826361,0.00027809,0.00011342
3,CD,0.015131,0.1757176,0.0019905,-0.0008141,-0.3950141,0.0004049,0.0013371,0.000130989,-0.0351548,0.0158304,0.00021492,0.00015017
4,CD,0.0185614,0.2172591,-0.000711,-0.0008148,-0.4865272,-0.0002705,0.0019424,0.000190125,-0.0427985,0.02124967,0.00021852,-0.0002065
5,CD,0.0227043,0.2587069,-0.0007177,-0.0008675,-0.571402,-0.0002203,0.0026949,0.000260291,-0.0517259,0.02760605,0.00027857,-0.0001204
6,CD,0.0275902,0.3001524,-0.0402185,-0.0057192,-0.6559434,-0.0003999,0.0030039,0.000341605,-0.0607622,0.03405108,0.00034293,-3.80E-05
7,CD,0.0331683,0.3414433,-0.001043,-0.0009535,-0.7500698,-0.000358,0.0043746,0.000434164,-0.0697743,0.04053402,0.00040225,1.80E-05
8,CD,0.039508,0.3835699,-0.001094,-0.0010504,-0.8270546,-0.0006111,0.0054428,0.000538067,-0.0786289,0.04700414,0.00044721,2.49E-05
9,CD,0.0465738,0.4280867,-0.0019755,-0.0009328,-0.9001014,-0.0006515,0.0066529,0.00065341,-0.0871928,0.05341071,0.00046845,-3.98E-05
10,CD,0.0543767,0.4682914,-0.0033024,-0.000845,-0.9372899,0.0249157,0.0080077,0.000780292,-0.0953329,0.05970299,0.00045664,-0.0001986
11,CD,0.0629612,0.5107185,-0.0014148,-0.0010412,-1.2321938,-0.0227431,0.0089979,0.00091881,-0.102916,0.06583025,0.00040244,-0.0004743
12,CD,0.0722474,0.5528648,0.0049585,-0.0005034,-1.1225809,-0.0004629,0.0106836,0.001069062,-0.1098089,0.07174176,0.0002965,-0.0008893
13,CD,0.180093,1.1051613,-0.0135163,0.0006754,-0.3464883,0.0505585,0.0381282,0.0038128,-0.3391774,0.0972294,0.0588517,0.0176405
14,CD,0.1983332,0.8376045,-0.0148173,-0.0275129,-0.6835779,-0.0265607,0.0385056,0.0038506,-0.3239141,0.1064746,0.0073526,0.0053927
15,CD,0.2172277,1.0401797,-0.0200309,0.0014933,-0.4742373,0.001049,0.0397527,0.0039753,-0.3077403,0.118624,0.0412886,0.0078185
16,CD,0.2350571,0.9781793,-0.0350198,-0.0095631,-0.6071319,0.0087479,0.0391432,0.0039143,-0.272635,0.1277302,0.044065,0.0270481
17,CD,0.2516416,0.9486962,-0.0191726,-0.0018437,-0.6529101,0.003952,0.0392286,0.0039229,-0.2386704,0.1362584,0.0634502,0.0173464
18,CD,0.2674407,0.9341402,-0.0185016,-0.0405539,-0.6313817,0.0183394,0.0374131,0.0037413,-0.2213889,0.1436209,0.0330444,0.0161706
19,CD,0.2833509,0.9131966,0.0095281,-0.030132,-0.6656002,0.0385257,0.0329448,0.0032945,-0.2013887,0.155691,0.040173,0.0187517
20,CD,0.301701,0.9077808,-0.0643139,-0.0411115,-0.548344,-0.0334299,0.0332027,0.0033203,-0.1952718,0.1867104,0.0151588,0.0177147
21,CD,0.3169502,0.9349321,0.0677129,-0.0744347,-0.4903186,0.001592,0.0463311,0.0046331,-0.1812171,0.2014224,0.0152118,0.015374
22,CD,0.3336283,0.9456862,-0.0104498,-0.0491837,-0.0298966,0.0681623,0.0491503,0.004915,-0.1739559,0.2218679,0.0245256,0.0187813
23,CD,0.3504612,0.9668537,-0.0020883,-0.0594954,-0.1745089,0.0171159,0.0534853,0.0053485,-0.1736027,0.2375245,0.0010125,0.0202129
24,CD,0.3676303,0.9864206,0.0010618,-0.0543791,-0.0403873,0.037908,0.0557851,0.0055785,-0.1705158,0.2488884,-0.0038603,0.019045
25,CD,0.3848523,0.9767785,-0.0648229,-0.0556624,-0.0002982,0.0352264,0.0866262,0.0086626,-0.1711471,0.257404,0.0029126,0.0139883
-12,CFx,-0.1237504,1.4404625,0.1181073,0.0161452,3.3806662,0.0151298,-0.0098802,-0.000988,-0.0714958,0.0530758,0.0122458,0.0118419
-11,CFx,-0.1017422,1.211043,0.000691,0.0018662,3.055677,0.0069683,-0.0075998,-0.00076,-0.0769495,0.0392207,0.0006706,-0.0000797
-10,CFx,-0.0815756,1.0971029,0.0010219,0.0016695,2.8270938,-0.000788,-0.0058102,-0.000581,-0.0733457,0.0452452,0.0005065,-0.0000948
